,Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
11,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
14,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
24,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
25,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11
26,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
27,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
31,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
32,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
33,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
34,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
35,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8
36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
37,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
39,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
40,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
41,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
42,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
43,17,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8
44,18,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
45,19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
46,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11
47,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
48,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
49,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
50,24,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15
51,25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16
52,26,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
55,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
56,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
57,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
58,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
59,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
60,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
61,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
62,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
63,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
64,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
65,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
66,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8
67,14,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6
68,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
70,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
71,18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10
72,19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12
73,20,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13
74,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15
75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
76,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
77,24,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,20
78,25,1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,22
79,26,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23
80,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
81,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4
82,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
87,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
88,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6
89,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
90,10,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7
91,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
92,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
93,13,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10
94,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
95,15,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11
96,16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
97,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12
98,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
99,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
100,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
101,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
102,22,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13
103,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
104,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
105,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
106,26,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,21
107,27,0,3,0,1,0,0,0,0,1,0,7,0,2,0,1,0,22
108,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3
109,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
110,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
111,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6
112,5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8
113,6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9
114,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
115,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10
116,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
117,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
118,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
119,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
120,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
121,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
122,15,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10
123,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10
124,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
125,18,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9
126,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11
127,20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13
128,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
129,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17
130,23,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17
131,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18
132,25,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17
133,26,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17
134,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
